Вкладка	Поле	Тип данных
Основное	Наименование оборудования	текст
Основное	Количество 	число дробное, положительное
Основное	ЕИ	текст
Основное	Тип / модель*	текст
Основное	Чертеж*	текст
Основное	Серийный номер (Заводской № изготовителя)	текст
Основное	Класс	текст
Основное	Инвентарный номер ОС	число целое, положительное, 11 знаков
Основное	Номер ТОПАЗ	текст
Основное	Номер SAP TORO 	число целое, положительное
Основное	Код ABCD	текст
Основное	МВЗ (место возникновения затрат - на какой счет списываются затраты по ремонту)	текст
Основное	Изготовитель	текст
Основное	Дата выпуска	дата
Основное	Дата ввода в эксплуатацию	дата
Основное	Дата списания (из SAP ERP)	дата
Основное	Важность для технологического процесса	текст
Основное	Ключевое	да/нет
Основное	Испытательное	да/нет
Основное	Статус оборудования	текст
Основное	Вышестоящая ЕО	число целое, положительное (номер SAP вышестоящей ЕО)
Основное	Наличие резерва	да/нет
Местоположение	Цех	текст
Местоположение	Корпус	текст
Местоположение	Производственный участок цеха эксплуатирующего оборудование	текст
Местоположение	Технологический участок цеха, эксплуатирующего оборудование	текст
Местоположение	№ помещения	текст
Местоположение	Наименование помещения	текст
Местоположение	Местоположение	текст
Местоположение	"линия/
установка/
комплекс/"	текст
Местоположение	Высотная отметка (ось Z)	число дробное
Местоположение	Ось 1 по горизонтали (ось Х)	текст
Местоположение	Ось 2 по горизонтали (ось Х)	текст
Местоположение	Ось 1 по вертикали (ось Y)	текст
Местоположение	Ось 2 по вертикали (ось Y)	текст
Местоположение	№ проекта (если есть)	текст
Местоположение	Позиция по проекту	текст
Местоположение	Пролет	текст
Местоположение	Этаж	текст
Ответственные	Цех, ответсвенный за исправное техническое состояние	текст
Ответственные	Служба главного специалиста, ответственная за исправное состояние оборудования:*	текст
Ответственные	Лицо, ответственное за исправное состояние	текст
Ответственные	Лицо, ответственное за безопасную эксплуатацию	текст
Ответственные	Материально-ответсвенное лицо	текст
Планирование	Периодичность ТО мех (раз в Х месяцев)	число дробное, положительное
Планирование	Периодичность ТР мех (раз в Х месяцев)	число дробное, положительное
Планирование	Периодичность КР мех (раз в Х месяцев)	число дробное, положительное
Планирование	Периодичность ТО эл	число дробное, положительное
Планирование	Периодичность ТР эл	число дробное, положительное
Планирование	Периодичность КР эл	число дробное, положительное
Планирование	Периодичность ТО кип	число дробное, положительное
Планирование	Периодичность ТР кип	число дробное, положительное
Планирование	Периодичность ТО АСУ	число дробное, положительное
Планирование	Исполнитель ТО мех	текст
Планирование	Исполнитель ТР мех	текст
Планирование	Исполнитель КР мех	текст
Планирование	Исполнитель ТО эл	текст
Планирование	Исполнитель ТР эл	текст
Планирование	Исполнитель КР эл	текст
Планирование	Исполнитель ТО кип	текст
Планирование	Исполнитель ТР кип	текст
Планирование	Исполнитель ТО АСУ	текст
Планирование	Ремонтосложность механическая часть	число дробное, положительное
Планирование	Ремонтосложность электрическая часть	число дробное, положительное
Планирование	Ремонтосложность КИПиА	число дробное, положительное
Планирование	Ремонтосложность АСУТП	число дробное, положительное
Планирование	Дата начала запуска цикла ремонтов	дата
Планирование	Сменность	ручной ввод
Планирование	Коэффициент условий труда	число дробное, положительное от 1 до 1,15
Планирование	Дополнительный ремонтный коэффициент ДРК	число дробное, положительное от 1 до 1,3
Поверка	Дата последней поверки	дата
Поверка	Годен до	дата
Надзор	Является техническим устройством на ОПО	да/нет
Надзор	Является техническим устройством на ХОПО	да/нет
Надзор	Является объектом, важным для безопасности	да/нет
Надзор	Является ядерной установкой	да/нет
Надзор	Нормативный документ для класса безопасности	текст
Надзор	Класс безопасности	число целое, положительное от 1 до 4
Надзор	Классификационное обозначение	текст
Надзор	Является объектом, влияющим на охрану окружающей среды	да/нет
Надзор	Является объектом противопожарной защиты	да/нет
Надзор	Надзорный орган (внешний)	текст
Надзор	Надзорный орган (внутренний)	текст
Надзор	Регистрационный номер	текст
Надзор	Срок службы с даты изготовления (лет)	число целое, положительное
Надзор	Дата истечения срока службы	дата
